customer_rk,group
80969743,sms
15845727,sms
105367445,sms
13396596,sms
55407176,sms
65960421,sms
25130076,sms
94416018,sms
84584685,sms
15541994,sms
63707914,sms
112685723,sms
23903083,sms
58670369,sms
50866928,sms
42243114,sms
28394025,sms
74514685,sms
103370804,sms
32362027,sms
127205635,sms
81596197,sms
13464347,sms
48077734,sms
15779385,sms
68240487,sms
116194582,sms
13753156,sms
16367293,sms
22639097,sms
82818812,sms
14999913,sms
67882548,sms
120102914,sms
105154925,sms
44248038,sms
51254717,sms
33379451,sms
141283271,sms
115223054,sms
54917086,sms
52001753,sms
64613083,sms
17403079,sms
82940617,sms
15623866,sms
48522388,sms
60544881,sms
23211815,sms
37301235,sms
13721397,sms
55258491,sms
20427231,sms
23156907,sms
52661395,sms
25965373,sms
54997417,sms
73701723,sms
15803083,sms
43008416,sms
70338035,sms
29429347,sms
118072316,sms
13243198,sms
13646608,sms
21843283,sms
13324695,sms
76016663,sms
48434657,sms
46867063,sms
51944089,sms
31571744,sms
95705145,sms
35619924,sms
76978816,sms
105391511,sms
144812834,sms
29897756,sms
18871294,sms
15235777,sms
35155469,sms
31792078,sms
124882379,sms
63000841,sms
13305047,sms
22807567,sms
43743368,sms
14565886,sms
20635814,sms
33982481,sms
96554553,sms
88052663,sms
45729227,sms
48054338,sms
54790856,sms
27081442,sms
105568346,sms
48908004,sms
56256478,sms
25650473,sms
60960080,sms
83681105,sms
58152423,sms
57337008,sms
31640306,sms
38589566,sms
130236278,sms
53288107,sms
106032118,sms
83213504,sms
64826734,sms
83038460,sms
57983526,sms
70550645,sms
48060074,sms
55844463,sms
29320043,sms
58976557,sms
31720166,sms
70196808,sms
13602023,sms
13245127,sms
17776777,slip
101059524,slip
64605829,slip
66949555,slip
139806122,slip
13459294,slip
26936808,slip
13680520,slip
64392170,slip
49977336,slip
107440807,slip
140900019,slip
143058342,slip
46361067,slip
19083004,slip
51685486,slip
83336747,slip
36651285,slip
52763858,slip
131931218,slip
34809417,slip
130630603,slip
49624264,slip
105254946,slip
13366490,slip
80794720,slip
57429498,slip
16118307,slip
26761455,slip
81394170,slip
53388364,slip
44645368,slip
47388157,slip
54028416,slip
52022046,slip
145938687,slip
48022792,slip
117974559,slip
58138690,slip
46592640,slip
140650123,slip
16670913,slip
28483610,slip
48357179,slip
36678246,slip
87395147,slip
34712896,slip
26768254,slip
94902077,slip
79182214,slip
16747175,slip
121801353,slip
55319973,slip
136665177,slip
82981440,slip
34611213,slip
61965022,slip
67369844,slip
35391257,slip
53096616,slip
96366266,slip
125955849,slip
45952299,slip
75546094,slip
15559730,slip
131193290,slip
104846219,slip
13527416,slip
29898247,slip
58873938,slip
17182465,slip
70929807,slip
96138602,slip
29198823,slip
134119852,slip
81048902,slip
113160694,slip
49913122,slip
13626334,slip
13970154,slip
84782687,slip
13579315,slip
113927513,slip
28798600,slip
136448643,slip
103566584,slip
29299661,slip
27172942,slip
95113104,slip
36273304,slip
13339565,slip
30014405,slip
95326605,slip
32493285,slip
105930235,slip
81309730,slip
52247332,slip
131166680,slip
131664435,slip
20717081,slip
23882274,slip
42231665,slip
69234636,slip
38532535,slip
47304056,slip
13663108,slip
70044798,slip
17634876,slip
45894503,slip
54159584,slip
30121853,slip
79143005,slip
67703255,slip
26123968,slip
63380395,slip
72823294,slip
13483549,slip
134664777,slip
38168404,slip
58477821,slip
52114048,slip
13862307,slip
124446912,slip
96843654,slip
13457826,slip
31284953,slip
13522290,slip
26190256,slip
34442191,slip
74351301,slip
100200596,slip
89508113,slip
47928211,slip
143831195,slip
107320132,slip
27156293,slip
87547901,slip
134856034,slip
107314957,slip
17251535,slip
92521416,slip
83345799,slip
14781711,slip
106016656,slip
103858512,slip
82196358,slip
18055616,slip
19443887,slip
17847419,slip
48122465,slip
40971629,slip
116293523,slip
140396251,slip
13628854,slip
27386191,slip
133601905,slip
13570177,slip
25862155,slip
123137121,slip
58036627,slip
14598445,slip
22175919,slip
130905052,slip
18466457,slip
106091827,slip
29643574,slip
47149251,slip
53978184,slip
130748741,slip
44241615,slip
41065736,slip
33569856,slip
83928447,slip
58559436,slip
87664313,slip
114097670,slip
36481466,slip
16522061,slip
83930406,slip
52291573,slip
111040667,slip
113813299,slip
41113493,slip
30885982,slip
67792527,slip
60975374,slip
33887796,slip
21651706,slip
31739061,slip
94715848,slip
13245549,slip
16749826,slip
80164465,slip
32501837,slip
51873133,slip
40098137,slip
58705510,slip
25752877,slip
75715680,slip
105423495,slip
13543707,slip
13621821,slip
45766569,slip
56939308,slip
52199793,slip
74228536,slip
28349973,slip
46356938,slip
107011228,slip
18586207,slip
77602138,slip
50850087,slip
93390737,slip
111969072,slip
59476659,slip
51977730,slip
14727387,slip
22235753,slip
104891910,slip
43225915,slip
116444604,slip
128291255,slip
81031596,slip
41286056,slip
24842668,slip
28578433,slip
37056224,slip
53389450,slip
13438568,slip
13477294,slip
33888933,slip
34154479,slip
50756021,slip
123967009,slip
13469432,slip
140583175,slip
13353093,slip
45226609,slip
113006065,slip
94872143,slip
38670124,slip
105915268,slip
56161274,slip
69813264,slip
79980056,slip
112564720,slip
19909239,slip
16527470,slip
134589267,slip
49553378,slip
63681119,slip
88286349,slip
130247708,slip
112905518,slip
14371066,slip
119434761,slip
13334806,slip
26108844,slip
30857719,slip
28370795,slip
112078505,slip
65708005,slip
134236911,slip
13325281,slip
41313386,slip
66028808,slip
106575025,slip
98562480,slip
106057455,slip
50823407,slip
16404409,slip
50197918,slip
81283666,slip
64385735,slip
18062570,slip
65740774,slip
18229063,slip
27629253,slip
76738664,slip
53236502,slip
87637729,slip
124953277,slip
16812701,slip
31929793,slip
134580189,slip
93622685,slip
134514826,slip
135642868,slip
140577508,slip
20863805,slip
37408445,slip
93254489,slip
64402211,slip
34419221,slip
57597597,slip
60594581,slip
64786958,slip
13976659,slip
33651278,slip
13583956,slip
33929690,slip
14213340,slip
45265696,slip
15499813,slip
40782188,slip
84782206,slip
81527414,slip
96442386,slip
12234679,slip
53233286,slip
13516824,sms
18266596,sms
27492365,sms
76801850,sms
122496196,sms
